depth_m,qc_MPa,fs_kPa,inclination_degree,s_wave_travel_time_ms,point_id,utm_x_m,utm_y_m,elevation_m,total_depth_m,water_depth_m,Rf_percent
2.7,6.8,43.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6411764705882352
2.8,6.7,51.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7611940298507462
2.9,9.4,64.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6851063829787235
3.0,10.5,80.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7704761904761905
3.1,10.8,86.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.8018518518518518
3.2,10.5,71.2,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6780952380952382
3.3,12.4,81.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.660483870967742
3.4,13.1,102.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7786259541984732
3.5,13.2,99.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7522727272727273
3.6,13.5,101.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7511111111111112
3.7,13.0,99.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7615384615384615
3.8,11.5,82.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7208695652173913
3.9,9.6,61.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6437499999999999
4.0,10.4,63.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6067307692307692
4.1,10.6,56.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5320754716981132
4.2,10.1,36.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.36534653465346534
4.3,8.5,35.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4188235294117647
4.4,6.9,26.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.38405797101449274
4.5,5.7,20.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.3526315789473684
4.6,4.7,16.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.35106382978723405
4.7,3.2,23.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.74375
4.8,1.6,17.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.06875
4.9,1.0,14.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.48
5.0,1.4,29.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,2.107142857142857
5.1,3.4,42.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.2441176470588236
5.2,2.7,35.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.3296296296296295
5.3,2.5,7.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.30800000000000005
5.4,3.6,20.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5694444444444444
5.5,3.0,18.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6266666666666667
5.6,3.2,17.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.55625
5.7,4.9,23.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4795918367346939
5.8,6.0,29.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.49166666666666664
